Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TST-Search-ID,Chrome 63.0.3239.132,,2018-01-12 19:18:11,2018-01-12 19:22:36,4m - 25.051s,PASSED
,,,,,,
Test Cases/Home/Table/Search-ID/TC-Search-ID - Iteration 1,Chrome 63.0.3239.132,,2018-01-12 19:18:12,2018-01-12 19:20:38,2m - 26.216s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 19:18:13,2018-01-12 19:20:35,2m - 21.164s,PASSED
scrollToPosition,Chrome 63.0.3239.132,,2018-01-12 19:20:35,2018-01-12 19:20:35,0.094s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-12 19:20:35,2018-01-12 19:20:38,3.149s,PASSED
click,Chrome 63.0.3239.132,,2018-01-12 19:20:38,2018-01-12 19:20:38,0.438s,PASSED
,,,,,,
Test Cases/Home/Table/Search-ID/TC-Search-ID - Iteration 2,Chrome 63.0.3239.132,,2018-01-12 19:20:38,2018-01-12 19:21:38,59.836s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 19:20:39,2018-01-12 19:21:37,58.882s,PASSED
scrollToPosition,Chrome 63.0.3239.132,,2018-01-12 19:21:37,2018-01-12 19:21:37,0.036s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-12 19:21:37,2018-01-12 19:21:38,0.503s,PASSED
click,Chrome 63.0.3239.132,,2018-01-12 19:21:38,2018-01-12 19:21:38,0.316s,PASSED
,,,,,,
Test Cases/Home/Table/Search-ID/TC-Search-ID - Iteration 3,Chrome 63.0.3239.132,,2018-01-12 19:21:38,2018-01-12 19:22:35,56.685s,PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 19:21:38,2018-01-12 19:22:34,55.962s,PASSED
scrollToPosition,Chrome 63.0.3239.132,,2018-01-12 19:22:34,2018-01-12 19:22:34,0.021s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-12 19:22:34,2018-01-12 19:22:35,0.404s,PASSED
click,Chrome 63.0.3239.132,,2018-01-12 19:22:35,2018-01-12 19:22:35,0.273s,PASSED
