Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-HeaderMenu,Chrome 63.0.3239.84,,2018-01-08 00:40:54,2018-01-08 00:53:00,12m - 6.341s,FAILED
,,,,,,
Test Cases/Header menu/Login/TS-Login/TC-Login,Chrome 63.0.3239.84,,2018-01-08 00:40:55,2018-01-08 00:42:02,1m - 6.858s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-08 00:40:58,2018-01-08 00:41:04,6.193s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:41:04,2018-01-08 00:41:06,2.251s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2018-01-08 00:41:06,2018-01-08 00:41:07,1.255s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-08 00:41:07,2018-01-08 00:41:20,13.036s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:41:20,2018-01-08 00:41:23,2.191s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 00:41:23,2018-01-08 00:41:24,1.050s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:41:24,2018-01-08 00:41:25,1.098s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 00:41:25,2018-01-08 00:41:25,0.486s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:41:25,2018-01-08 00:41:27,2.182s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 00:41:27,2018-01-08 00:41:28,0.596s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:41:28,2018-01-08 00:42:01,32.796s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:42:01,2018-01-08 00:42:02,0.898s,PASSED
,,,,,,
Test Cases/Header menu/Login/VT-Login/VT-Login,Chrome 63.0.3239.84,,2018-01-08 00:42:02,2018-01-08 00:43:24,1m - 22.181s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:42:02,2018-01-08 00:43:23,1m - 21.020s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 00:43:23,2018-01-08 00:43:24,0.290s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2018-01-08 00:43:24,2018-01-08 00:43:24,0.249s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 00:43:24,2018-01-08 00:43:24,0.297s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Grower Enterprise System/TS-Grower Enterprise System/TC-GrowerEnterpriseSystem,Chrome 63.0.3239.84,,2018-01-08 00:43:24,2018-01-08 00:44:20,55.621s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:43:25,2018-01-08 00:44:16,50.993s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:44:16,2018-01-08 00:44:17,1.409s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:44:17,2018-01-08 00:44:19,1.995s,PASSED
back,Chrome 63.0.3239.84,,2018-01-08 00:44:19,2018-01-08 00:44:20,0.629s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Grower Enterprise System/VT-Grower Enterprise System/VT-GrowerEnterpriseSystem,Chrome 63.0.3239.84,,2018-01-08 00:44:20,2018-01-08 00:45:13,52.886s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:44:20,2018-01-08 00:45:12,52.145s,PASSED
verifyTextPresent,Chrome 63.0.3239.84,,2018-01-08 00:45:12,2018-01-08 00:45:13,0.131s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 00:45:13,2018-01-08 00:45:13,0.264s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Home/TS-Home/TC-Home,Chrome 63.0.3239.84,,2018-01-08 00:45:13,2018-01-08 00:46:02,48.552s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:45:14,2018-01-08 00:45:56,42.201s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:45:56,2018-01-08 00:45:58,2.330s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:45:58,2018-01-08 00:46:01,2.707s,PASSED
back,Chrome 63.0.3239.84,,2018-01-08 00:46:01,2018-01-08 00:46:02,0.579s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Home/VT-Home/VT-Home,Chrome 63.0.3239.84,,2018-01-08 00:46:02,2018-01-08 00:46:55,53.167s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:46:02,2018-01-08 00:46:55,52.482s,PASSED
verifyElementClickable,Chrome 63.0.3239.84,,2018-01-08 00:46:55,2018-01-08 00:46:55,0.190s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Search/TS-Search/TC-Search,Chrome 63.0.3239.84,,2018-01-08 00:46:55,2018-01-08 00:47:47,52.384s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:46:55,2018-01-08 00:47:41,45.497s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:47:41,2018-01-08 00:47:43,2.100s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:47:43,2018-01-08 00:47:45,1.646s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:47:45,2018-01-08 00:47:47,2.185s,PASSED
back,Chrome 63.0.3239.84,,2018-01-08 00:47:47,2018-01-08 00:47:47,0.656s,PASSED
,,,,,,
Test Cases/Header menu/Menu text/Search/VT-Search/VT-Search,Chrome 63.0.3239.84,,2018-01-08 00:47:48,2018-01-08 00:48:49,1m - 1.413s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:47:49,2018-01-08 00:48:49,1m - 0.174s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 00:48:49,2018-01-08 00:48:49,0.222s,PASSED
,,,,,,
Test Cases/Header menu/Name dropdown/Name/LogOut/TS-LogOut/TC-LogOut,Chrome 63.0.3239.84,,2018-01-08 00:48:49,2018-01-08 00:50:47,1m - 57.836s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-08 00:48:50,2018-01-08 00:50:43,1m - 52.741s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:50:43,2018-01-08 00:50:44,0.798s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:50:44,2018-01-08 00:50:44,0.149s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 00:50:44,2018-01-08 00:50:45,0.806s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 00:50:45,2018-01-08 00:50:47,2.633s,PASSED
,,,,,,
