Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-LogIn,Chrome 63.0.3239.84,,2018-01-08 23:41:40,2018-01-08 23:42:40,1m - 0.435s,PASSED
,,,,,,
Test Cases/Header menu/Login/TS-Login/TC-Login,Chrome 63.0.3239.84,,2018-01-08 23:41:43,2018-01-08 23:42:39,56.010s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-08 23:41:47,2018-01-08 23:42:01,14.491s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 23:42:01,2018-01-08 23:42:04,2.112s,PASSED
maximizeWindow,Chrome 63.0.3239.84,,2018-01-08 23:42:04,2018-01-08 23:42:05,1.238s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-08 23:42:05,2018-01-08 23:42:26,21.679s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 23:42:26,2018-01-08 23:42:29,2.026s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 23:42:29,2018-01-08 23:42:29,0.896s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 23:42:29,2018-01-08 23:42:30,1.010s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 23:42:30,2018-01-08 23:42:31,0.669s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 23:42:31,2018-01-08 23:42:33,2.005s,PASSED
takeScreenshot,Chrome 63.0.3239.84,,2018-01-08 23:42:33,2018-01-08 23:42:34,0.790s,PASSED
click,Chrome 63.0.3239.84,,2018-01-08 23:42:34,2018-01-08 23:42:38,3.698s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-08 23:42:38,2018-01-08 23:42:39,1.005s,PASSED
