Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS-VerifyLogin,Chrome 63.0.3239.132,,2018-01-09 17:23:21,2018-01-09 17:32:47,9m - 26.748s,FAILED
,,,,,,
Test Cases/Header menu/Login/VT-Login/VT-VerifyLogin - Iteration 1,Chrome 63.0.3239.132,,2018-01-09 17:23:23,2018-01-09 17:26:15,2m - 52.321s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-09 17:23:26,2018-01-09 17:23:33,6.884s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:23:33,2018-01-09 17:23:35,1.780s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-09 17:23:35,2018-01-09 17:23:36,1.188s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-09 17:23:36,2018-01-09 17:26:04,2m - 27.882s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:26:04,2018-01-09 17:26:06,2.238s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:26:06,2018-01-09 17:26:07,0.840s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:26:07,2018-01-09 17:26:08,1.100s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:26:08,2018-01-09 17:26:09,0.655s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:26:09,2018-01-09 17:26:11,2.218s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 17:26:11,2018-01-09 17:26:14,2.560s,PASSED
acceptAlert,Chrome 63.0.3239.132,,2018-01-09 17:26:14,2018-01-09 17:26:15,1.355s,FAILED
,,,,,,
Test Cases/Header menu/Login/VT-Login/VT-VerifyLogin - Iteration 2,Chrome 63.0.3239.132,,2018-01-09 17:26:15,2018-01-09 17:29:04,2m - 48.664s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-09 17:26:15,2018-01-09 17:26:21,5.256s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:26:21,2018-01-09 17:26:23,1.977s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-09 17:26:23,2018-01-09 17:26:24,1.129s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-09 17:26:24,2018-01-09 17:28:39,2m - 15.309s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:28:39,2018-01-09 17:28:41,1.852s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:28:41,2018-01-09 17:28:42,1.107s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:28:42,2018-01-09 17:28:43,1.015s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:28:43,2018-01-09 17:28:44,0.936s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:28:44,2018-01-09 17:28:46,2.068s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 17:28:46,2018-01-09 17:29:02,16.459s,PASSED
acceptAlert,Chrome 63.0.3239.132,,2018-01-09 17:29:02,2018-01-09 17:29:04,1.382s,FAILED
,,,,,,
Test Cases/Header menu/Login/VT-Login/VT-VerifyLogin - Iteration 3,Chrome 63.0.3239.132,,2018-01-09 17:29:04,2018-01-09 17:30:22,1m - 17.656s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-09 17:29:04,2018-01-09 17:29:11,6.692s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:29:11,2018-01-09 17:29:13,2.451s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-09 17:29:13,2018-01-09 17:29:15,1.442s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-09 17:29:15,2018-01-09 17:30:11,56.012s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:30:11,2018-01-09 17:30:13,2.007s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:30:13,2018-01-09 17:30:13,0.690s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:30:13,2018-01-09 17:30:14,1.009s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 17:30:14,2018-01-09 17:30:15,0.625s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:30:15,2018-01-09 17:30:17,2.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 17:30:17,2018-01-09 17:30:19,2.403s,PASSED
acceptAlert,Chrome 63.0.3239.132,,2018-01-09 17:30:19,2018-01-09 17:30:22,2.136s,FAILED
,,,,,,
Test Cases/Header menu/Login/VT-Login/VT-VerifyLogin - Iteration 4,Chrome 63.0.3239.132,,2018-01-09 17:30:22,2018-01-09 17:32:46,2m - 24.470s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-09 17:30:22,2018-01-09 17:30:27,5.173s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 17:30:27,2018-01-09 17:30:29,2.016s,PASSED
